epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2592,0.0120,0.2498,0.4204,1.0215,0.5072,0.5084,526
2,0.2051,0.0070,0.1991,0.3114,1.1194,0.4673,0.4725,523
3,0.1470,0.0061,0.1415,0.1923,1.1955,0.4579,0.4609,523
4,0.1167,0.0051,0.1113,0.1336,1.8133,0.2595,0.2526,523
5,0.0897,0.0045,0.0845,0.0846,2.0619,0.2262,0.2226,523
6,0.0796,0.0040,0.0746,0.0687,2.1349,0.2296,0.2269,523
7,0.0714,0.0036,0.0666,0.0557,2.2694,0.2060,0.2062,523
8,0.0668,0.0036,0.0621,0.0490,2.2315,0.2181,0.2160,523
9,0.0617,0.0032,0.0575,0.0430,1.9999,0.2555,0.2530,523
10,0.0614,0.0031,0.0573,0.0431,2.0239,0.2726,0.2716,523
11,0.0599,0.0026,0.0563,0.0424,1.8283,0.2842,0.2848,523
12,0.0588,0.0026,0.0552,0.0411,1.7781,0.3028,0.3036,523
13,0.0518,0.0023,0.0484,0.0322,1.7697,0.2908,0.2919,523
14,0.0490,0.0032,0.0441,0.0270,2.6608,0.1695,0.1749,523
15,0.0439,0.0022,0.0404,0.0241,1.9053,0.2540,0.2539,523
16,0.0426,0.0023,0.0393,0.0230,1.7482,0.3169,0.3163,523
17,0.0358,0.0020,0.0326,0.0157,1.7730,0.3162,0.3118,523
18,0.0348,0.0019,0.0317,0.0156,1.7284,0.3089,0.3069,523
19,0.0340,0.0018,0.0310,0.0153,1.6298,0.3566,0.3562,523
20,0.0339,0.0019,0.0309,0.0154,1.6578,0.3300,0.3267,523
21,0.0335,0.0017,0.0306,0.0156,1.6271,0.3494,0.3489,523
22,0.0335,0.0017,0.0307,0.0161,1.6667,0.3285,0.3287,523
23,0.0337,0.0018,0.0307,0.0163,1.7178,0.3344,0.3282,523
24,0.0332,0.0017,0.0303,0.0163,1.6898,0.3194,0.3157,523
25,0.0330,0.0017,0.0301,0.0165,1.7165,0.3240,0.3220,523
26,0.0259,0.0017,0.0231,0.0105,1.6251,0.3921,0.3975,523
27,0.0251,0.0016,0.0224,0.0104,1.5924,0.3544,0.3497,523
28,0.0251,0.0016,0.0222,0.0103,1.7369,0.3121,0.3086,523
29,0.0248,0.0016,0.0220,0.0105,1.6105,0.3614,0.3595,523
30,0.0229,0.0016,0.0201,0.0089,1.7075,0.3147,0.3114,523
31,0.0175,0.0016,0.0146,0.0050,1.7945,0.3024,0.3010,523
32,0.0167,0.0016,0.0139,0.0049,1.6728,0.3385,0.3366,523
33,0.0168,0.0015,0.0140,0.0051,1.7745,0.3238,0.3214,523
34,0.0162,0.0016,0.0135,0.0051,1.5933,0.3605,0.3596,523
35,0.0131,0.0015,0.0104,0.0025,1.6513,0.3260,0.3234,523
36,0.0093,0.0016,0.0065,0.0005,1.6655,0.3636,0.3583,523
37,0.0087,0.0016,0.0060,0.0005,1.6825,0.3332,0.3273,523
38,0.0082,0.0015,0.0056,0.0004,1.5755,0.3575,0.3575,523
39,0.0079,0.0015,0.0054,0.0004,1.5453,0.3960,0.3900,523
40,0.0079,0.0015,0.0053,0.0004,1.5769,0.3511,0.3523,523
41,0.0077,0.0015,0.0051,0.0004,1.5719,0.3727,0.3662,523
42,0.0077,0.0016,0.0050,0.0004,1.6037,0.3656,0.3603,523
43,0.0080,0.0015,0.0053,0.0005,1.6547,0.3312,0.3295,523
44,0.0075,0.0015,0.0049,0.0004,1.6192,0.3606,0.3569,524
45,0.0072,0.0015,0.0046,0.0003,1.5166,0.3861,0.3838,523
46,0.0078,0.0015,0.0051,0.0004,1.6548,0.3323,0.3273,523
47,0.0073,0.0014,0.0047,0.0003,1.5715,0.3632,0.3586,523
48,0.0072,0.0014,0.0046,0.0003,1.5722,0.3660,0.3593,523
49,0.0072,0.0014,0.0046,0.0004,1.5762,0.3592,0.3543,523
50,0.0067,0.0014,0.0043,0.0003,1.3918,0.4900,0.4852,524
51,0.0071,0.0014,0.0046,0.0004,1.5160,0.3633,0.3560,523
52,0.0070,0.0014,0.0044,0.0004,1.5631,0.3719,0.3659,524
53,0.0069,0.0014,0.0044,0.0003,1.5484,0.3484,0.3455,523
54,0.0069,0.0014,0.0043,0.0003,1.6042,0.3659,0.3587,523
55,0.0069,0.0015,0.0043,0.0003,1.5880,0.3488,0.3426,523
56,0.0061,0.0013,0.0039,0.0002,1.2041,0.6132,0.6051,523
57,0.0064,0.0013,0.0040,0.0002,1.4050,0.3858,0.3812,523
