epoch,loss,encoder_mse,dec_bce,balance_loss,router_z_loss,router_entropy,router_grad_norm,expert_w_cos,balance_alpha,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,expert_max_use,expert_max_sel,expert_load_0,expert_load_1,expert_load_2,expert_load_3,duration
1,0.4544,0.0079,0.4357,1.7366,0.1692,0.6016,0.0263,0.0076,0.0050,0.1832,4.2575,0.0809,0.0766,0.4991,0.9982,0.1136,0.1592,0.4990,0.2283,297
2,0.3353,0.0079,0.3132,1.9232,0.0402,0.2719,0.0175,0.0620,0.0058,0.1352,5.4044,0.0593,0.0555,0.5000,1.0000,0.1131,0.1651,0.5000,0.2218,295
3,0.3247,0.0079,0.3006,1.8592,0.0114,0.4395,0.0233,0.1195,0.0067,0.1330,6.2737,0.0341,0.0343,0.5000,1.0000,0.1446,0.1732,0.5000,0.1823,321
4,0.3066,0.0076,0.2817,1.6790,0.0054,0.8069,0.0560,0.0913,0.0075,0.1225,6.9876,0.0253,0.0251,0.5000,1.0000,0.1487,0.1372,0.5000,0.2142,330
5,0.2829,0.0079,0.2567,1.5624,0.0092,0.9865,0.0779,0.0455,0.0083,0.1084,7.6447,0.0173,0.0166,0.5000,1.0000,0.1609,0.1467,0.5000,0.1924,323
6,0.2549,0.0079,0.2292,1.3827,0.0196,1.1910,0.1064,0.0471,0.0092,0.0920,7.4785,0.0332,0.0331,0.5000,1.0000,0.1377,0.1570,0.5000,0.2053,322
7,0.2288,0.0076,0.2029,1.2596,0.0292,1.2928,0.1363,0.0390,0.0100,0.0785,7.8692,0.0304,0.0303,0.5000,1.0000,0.1867,0.1706,0.5000,0.1428,319
8,0.2105,0.0078,0.1838,1.1885,0.0321,1.3352,0.1590,0.0289,0.0108,0.0693,8.3198,0.0257,0.0247,0.5000,1.0000,0.2374,0.1323,0.5000,0.1303,318
9,0.1928,0.0078,0.1654,1.1346,0.0339,1.3590,0.1799,0.0241,0.0117,0.0614,8.6581,0.0214,0.0213,0.5000,0.9999,0.2189,0.1561,0.5000,0.1251,315
10,0.2521,0.0078,0.2243,1.1005,0.0288,1.3664,0.1350,0.0047,0.0125,0.0918,8.4829,0.0219,0.0230,0.4821,0.9642,0.0722,0.1387,0.3990,0.3901,315
11,0.1967,0.0079,0.1682,1.0504,0.0143,1.3737,0.1091,-0.0042,0.0133,0.0643,8.9307,0.0170,0.0171,0.4792,0.9583,0.1088,0.1800,0.4670,0.2442,315
12,0.2016,0.0080,0.1723,1.0438,0.0169,1.3731,0.1113,-0.0039,0.0142,0.0675,8.9134,0.0213,0.0206,0.4661,0.9322,0.1009,0.1314,0.4471,0.3206,313
13,0.2149,0.0081,0.1833,1.1189,0.0103,1.3590,0.1050,-0.0046,0.0150,0.0709,9.1352,0.0210,0.0200,0.4854,0.9707,0.0743,0.1006,0.3451,0.4799,312
14,0.2082,0.0079,0.1751,1.1572,0.0088,1.3493,0.1175,-0.0047,0.0158,0.0645,9.1595,0.0176,0.0184,0.4983,0.9965,0.1336,0.1564,0.2118,0.4981,311
15,0.1856,0.0079,0.1515,1.1613,0.0098,1.3489,0.1325,-0.0035,0.0167,0.0550,9.1996,0.0176,0.0148,0.4995,0.9990,0.1943,0.1311,0.1751,0.4995,310
16,0.1759,0.0080,0.1408,1.1487,0.0111,1.3541,0.1474,-0.0034,0.0175,0.0525,9.3386,0.0262,0.0253,0.4989,0.9978,0.1575,0.1416,0.2022,0.4988,310
17,0.1704,0.0083,0.1342,1.1223,0.0109,1.3628,0.1380,-0.0041,0.0183,0.0505,9.7993,0.0130,0.0140,0.4968,0.9935,0.1400,0.1302,0.2333,0.4964,309
18,0.1650,0.0078,0.1288,1.1145,0.0099,1.3658,0.1325,-0.0043,0.0192,0.0487,9.3517,0.0192,0.0190,0.4978,0.9956,0.1378,0.1475,0.2170,0.4977,303
19,0.1655,0.0079,0.1285,1.0838,0.0105,1.3738,0.1287,-0.0053,0.0200,0.0488,9.8212,0.0145,0.0141,0.4939,0.9878,0.1146,0.1301,0.2626,0.4928,303
20,0.1614,0.0077,0.1244,1.0786,0.0091,1.3756,0.1222,-0.0050,0.0208,0.0472,9.2193,0.0320,0.0335,0.4971,0.9943,0.1276,0.1407,0.2348,0.4969,303
21,0.1897,0.0081,0.1514,1.0543,0.0104,1.3800,0.1082,-0.0064,0.0217,0.0582,9.7802,0.0169,0.0161,0.4913,0.9825,0.1261,0.1664,0.3649,0.3426,299
22,0.2038,0.0078,0.1643,1.0256,0.0069,1.3839,0.0882,-0.0073,0.0225,0.0643,10.9563,0.0066,0.0054,0.4535,0.9070,0.1413,0.1769,0.4244,0.2574,297
23,0.2158,0.0080,0.1763,1.0288,0.0082,1.3823,0.0953,-0.0071,0.0233,0.0710,9.9459,0.0165,0.0166,0.4343,0.8686,0.1568,0.1779,0.3542,0.3112,297
24,0.2316,0.0080,0.1909,1.0238,0.0075,1.3817,0.0951,-0.0070,0.0242,0.0783,10.4380,0.0176,0.0180,0.4170,0.8341,0.1699,0.2008,0.3382,0.2910,305
25,0.2310,0.0080,0.1888,1.0240,0.0073,1.3801,0.0950,-0.0063,0.0250,0.0771,11.0110,0.0067,0.0074,0.4085,0.8169,0.1668,0.1946,0.3319,0.3067,300
26,0.2395,0.0079,0.1974,1.0170,0.0063,1.3789,0.0934,-0.0060,0.0258,0.0816,10.2858,0.0139,0.0156,0.3856,0.7712,0.1798,0.2216,0.3171,0.2815,297
27,0.2423,0.0078,0.1990,1.0191,0.0073,1.3785,0.0921,-0.0054,0.0267,0.0828,10.6648,0.0112,0.0119,0.3936,0.7872,0.1809,0.2081,0.3131,0.2979,298
28,0.2648,0.0078,0.2211,1.0128,0.0073,1.3795,0.0931,-0.0049,0.0275,0.0943,10.3473,0.0163,0.0194,0.3920,0.7839,0.1993,0.2309,0.2957,0.2741,298
29,0.2644,0.0078,0.2196,1.0115,0.0071,1.3795,0.0901,-0.0045,0.0283,0.0939,10.6993,0.0100,0.0093,0.3816,0.7631,0.2014,0.2399,0.2729,0.2858,300
30,0.2724,0.0079,0.2246,1.0130,0.0068,1.3809,0.0892,-0.0045,0.0292,0.0970,12.6528,0.0009,0.0010,0.3883,0.7765,0.2156,0.2226,0.2824,0.2794,297
31,0.2844,0.0078,0.2384,1.0086,0.0066,1.3825,0.0900,-0.0042,0.0300,0.1053,10.2368,0.0174,0.0163,0.3800,0.7600,0.2062,0.2716,0.2603,0.2619,294
32,0.2954,0.0077,0.2495,1.0082,0.0061,1.3842,0.0887,-0.0036,0.0300,0.1122,10.2728,0.0178,0.0181,0.3855,0.7710,0.2070,0.2725,0.2669,0.2536,298
33,0.2947,0.0080,0.2482,1.0069,0.0054,1.3844,0.0868,-0.0033,0.0300,0.1120,10.6304,0.0125,0.0121,0.3794,0.7588,0.2229,0.2519,0.2660,0.2593,304
34,0.3127,0.0080,0.2660,1.0074,0.0066,1.3851,0.0852,-0.0030,0.0300,0.1229,10.8758,0.0095,0.0106,0.3974,0.7948,0.2413,0.2602,0.2484,0.2501,301
35,0.3207,0.0076,0.2740,1.0072,0.0062,1.3850,0.0834,-0.0023,0.0300,0.1276,11.1428,0.0074,0.0084,0.3904,0.7809,0.2158,0.2718,0.2464,0.2660,299
36,0.3164,0.0081,0.2696,1.0073,0.0062,1.3851,0.0847,-0.0022,0.0300,0.1252,10.9560,0.0143,0.0132,0.3923,0.7846,0.2200,0.2498,0.2583,0.2720,298
37,0.3210,0.0080,0.2743,1.0071,0.0060,1.3850,0.0808,-0.0013,0.0300,0.1286,10.8794,0.0137,0.0135,0.3906,0.7812,0.2146,0.2584,0.2545,0.2724,299
38,0.3308,0.0081,0.2837,1.0088,0.0064,1.3847,0.0832,-0.0005,0.0300,0.1345,11.1926,0.0063,0.0059,0.3976,0.7951,0.2187,0.2306,0.2561,0.2946,300
39,0.3230,0.0078,0.2766,1.0087,0.0066,1.3843,0.0789,0.0005,0.0300,0.1309,10.7023,0.0132,0.0131,0.3923,0.7846,0.2029,0.2421,0.2512,0.3038,297
40,0.3243,0.0082,0.2770,1.0110,0.0062,1.3835,0.0784,0.0014,0.0300,0.1330,11.2220,0.0091,0.0104,0.3902,0.7804,0.2037,0.2298,0.2562,0.3103,296
41,0.3373,0.0078,0.2900,1.0076,0.0060,1.3832,0.0730,0.0017,0.0300,0.1416,11.6004,0.0129,0.0133,0.3758,0.7515,0.2092,0.2479,0.2501,0.2927,301
42,0.3471,0.0078,0.3007,1.0077,0.0064,1.3835,0.0742,0.0020,0.0300,0.1493,10.6971,0.0105,0.0114,0.3881,0.7763,0.2101,0.2554,0.2496,0.2849,306
43,0.3588,0.0076,0.3118,1.0079,0.0060,1.3834,0.0705,0.0018,0.0300,0.1570,11.4300,0.0064,0.0074,0.3818,0.7636,0.2166,0.2527,0.2518,0.2789,332
44,0.3681,0.0081,0.3206,1.0083,0.0062,1.3834,0.0707,0.0020,0.0300,0.1627,11.6076,0.0152,0.0160,0.3869,0.7737,0.2176,0.2435,0.2481,0.2908,312
45,0.3533,0.0079,0.3066,1.0092,0.0056,1.3829,0.0687,0.0023,0.0300,0.1546,10.8967,0.0082,0.0073,0.3825,0.7649,0.2043,0.2397,0.2537,0.3022,311
46,0.3679,0.0078,0.3206,1.0101,0.0060,1.3827,0.0687,0.0027,0.0300,0.1625,11.4899,0.0069,0.0080,0.3863,0.7726,0.2085,0.2314,0.2514,0.3087,311
47,0.3738,0.0079,0.3269,1.0102,0.0059,1.3823,0.0683,0.0032,0.0300,0.1675,11.1142,0.0141,0.0140,0.3914,0.7828,0.2072,0.2389,0.2632,0.2908,309
48,0.3782,0.0079,0.3304,1.0098,0.0060,1.3821,0.0661,0.0034,0.0300,0.1691,11.9303,0.0084,0.0075,0.3847,0.7693,0.2111,0.2279,0.2549,0.3061,309
49,0.3822,0.0077,0.3352,1.0094,0.0061,1.3825,0.0651,0.0036,0.0300,0.1727,11.2052,0.0109,0.0119,0.3902,0.7803,0.2179,0.2300,0.2489,0.3032,311
50,0.3903,0.0077,0.3434,1.0096,0.0059,1.3818,0.0644,0.0040,0.0300,0.1772,11.2250,0.0103,0.0117,0.3873,0.7746,0.2161,0.2406,0.2413,0.3020,308
51,0.3923,0.0078,0.3442,1.0101,0.0056,1.3821,0.0642,0.0041,0.0300,0.1770,12.3255,0.0017,0.0017,0.3909,0.7817,0.2203,0.2272,0.2533,0.2992,300
52,0.3951,0.0076,0.3477,1.0105,0.0058,1.3824,0.0636,0.0041,0.0300,0.1785,11.6549,0.0126,0.0118,0.3924,0.7848,0.2131,0.2155,0.2573,0.3141,301
53,0.4055,0.0079,0.3576,1.0116,0.0055,1.3821,0.0627,0.0038,0.0300,0.1849,12.0386,0.0035,0.0034,0.3964,0.7929,0.2136,0.2179,0.2580,0.3105,298
54,0.4144,0.0081,0.3668,1.0110,0.0054,1.3823,0.0614,0.0035,0.0300,0.1911,11.5969,0.0107,0.0119,0.3961,0.7923,0.2184,0.2251,0.2414,0.3150,297
55,0.4177,0.0078,0.3699,1.0121,0.0054,1.3820,0.0613,0.0033,0.0300,0.1914,11.9702,0.0073,0.0080,0.3989,0.7977,0.2072,0.2113,0.2595,0.3221,293
56,0.4143,0.0080,0.3664,1.0124,0.0053,1.3818,0.0611,0.0033,0.0300,0.1899,11.8597,0.0109,0.0104,0.3987,0.7974,0.2106,0.2122,0.2523,0.3250,291
57,0.4314,0.0080,0.3838,1.0138,0.0054,1.3822,0.0617,0.0028,0.0300,0.2008,11.5406,0.0098,0.0106,0.4010,0.8020,0.2085,0.2216,0.2567,0.3132,294
58,0.4372,0.0080,0.3892,1.0144,0.0053,1.3824,0.0610,0.0024,0.0300,0.2036,11.9725,0.0059,0.0068,0.4066,0.8133,0.2079,0.2076,0.2587,0.3257,294
59,0.4380,0.0079,0.3907,1.0128,0.0055,1.3827,0.0599,0.0022,0.0300,0.2058,11.4048,0.0140,0.0124,0.3964,0.7928,0.2223,0.2235,0.2517,0.3026,294
60,0.4430,0.0078,0.3947,1.0138,0.0048,1.3828,0.0579,0.0019,0.0300,0.2077,12.4068,0.0072,0.0066,0.4031,0.8061,0.2081,0.2175,0.2607,0.3137,291
61,0.4557,0.0080,0.4072,1.0135,0.0048,1.3831,0.0590,0.0016,0.0300,0.2147,12.4840,0.0121,0.0109,0.4027,0.8054,0.2144,0.2166,0.2544,0.3147,292
62,0.4520,0.0078,0.4051,1.0148,0.0047,1.3828,0.0586,0.0013,0.0300,0.2130,11.0399,0.0117,0.0124,0.4019,0.8038,0.2194,0.2188,0.2599,0.3019,293
63,0.4702,0.0081,0.4219,1.0148,0.0045,1.3833,0.0580,0.0013,0.0300,0.2241,12.2377,0.0039,0.0038,0.4085,0.8170,0.2086,0.2198,0.2520,0.3196,296
64,0.4643,0.0078,0.4165,1.0176,0.0046,1.3832,0.0590,0.0010,0.0300,0.2186,11.8965,0.0085,0.0066,0.4118,0.8236,0.2062,0.2152,0.2591,0.3195,307
65,0.4729,0.0077,0.4253,1.0154,0.0044,1.3832,0.0571,0.0012,0.0300,0.2249,11.7619,0.0111,0.0099,0.4048,0.8096,0.2126,0.2308,0.2574,0.2991,306
66,0.4810,0.0078,0.4335,1.0153,0.0042,1.3838,0.0562,0.0010,0.0300,0.2289,11.6836,0.0079,0.0083,0.4098,0.8196,0.2073,0.2313,0.2589,0.3025,309
67,0.4892,0.0078,0.4401,1.0160,0.0042,1.3834,0.0557,0.0009,0.0300,0.2352,13.1130,0.0018,0.0019,0.4055,0.8110,0.2068,0.2298,0.2570,0.3064,308
68,0.4849,0.0080,0.4370,1.0163,0.0039,1.3836,0.0550,0.0008,0.0300,0.2306,11.7414,0.0132,0.0152,0.4125,0.8251,0.2060,0.2301,0.2660,0.2979,301
69,0.4916,0.0079,0.4432,1.0159,0.0039,1.3837,0.0548,0.0004,0.0300,0.2343,12.3555,0.0065,0.0055,0.4106,0.8212,0.2009,0.2358,0.2676,0.2957,297
70,0.4959,0.0081,0.4480,1.0165,0.0039,1.3836,0.0543,0.0003,0.0300,0.2378,11.6944,0.0096,0.0105,0.4128,0.8256,0.2021,0.2435,0.2703,0.2841,296
71,0.5058,0.0079,0.4577,1.0155,0.0038,1.3841,0.0536,0.0000,0.0300,0.2426,12.0752,0.0040,0.0055,0.4134,0.8269,0.2030,0.2290,0.2800,0.2880,293
72,0.5114,0.0080,0.4627,1.0163,0.0037,1.3841,0.0511,-0.0000,0.0300,0.2469,12.6887,0.0070,0.0068,0.4129,0.8257,0.1998,0.2284,0.2827,0.2891,293
73,0.5202,0.0077,0.4724,1.0150,0.0034,1.3839,0.0518,0.0003,0.0300,0.2515,11.9911,0.0074,0.0095,0.4064,0.8127,0.2033,0.2249,0.2846,0.2872,291
74,0.5186,0.0077,0.4703,1.0152,0.0036,1.3840,0.0522,-0.0001,0.0300,0.2487,12.3493,0.0060,0.0072,0.4093,0.8185,0.2020,0.2303,0.2902,0.2774,290
75,0.5246,0.0077,0.4762,1.0152,0.0035,1.3840,0.0497,-0.0007,0.0300,0.2527,12.5386,0.0066,0.0058,0.4074,0.8149,0.2011,0.2234,0.2911,0.2844,288
76,0.5407,0.0078,0.4925,1.0151,0.0034,1.3840,0.0499,-0.0008,0.0300,0.2639,12.3290,0.0089,0.0105,0.4086,0.8172,0.2012,0.2269,0.2825,0.2894,287
77,0.5434,0.0077,0.4953,1.0156,0.0036,1.3834,0.0483,-0.0008,0.0300,0.2645,12.2008,0.0053,0.0048,0.4034,0.8068,0.2078,0.2215,0.2839,0.2868,287
78,0.5506,0.0080,0.5016,1.0140,0.0036,1.3835,0.0490,-0.0009,0.0300,0.2675,12.9310,0.0035,0.0033,0.3983,0.7966,0.2060,0.2250,0.2895,0.2795,287
79,0.5496,0.0079,0.5026,1.0157,0.0036,1.3832,0.0479,-0.0012,0.0300,0.2678,10.9817,0.0175,0.0192,0.4040,0.8079,0.2001,0.2259,0.2941,0.2800,286
80,0.5547,0.0077,0.5054,1.0158,0.0035,1.3832,0.0480,-0.0016,0.0300,0.2702,13.3956,0.0014,0.0011,0.4034,0.8067,0.2007,0.2196,0.2978,0.2819,287
81,0.4932,0.0079,0.4431,1.0089,0.0031,1.3828,0.0436,-0.0018,0.0300,0.2304,14.2963,0.0008,0.0005,0.3632,0.7264,0.2010,0.2229,0.2695,0.3067,287
