epoch,loss,encoder_mse,dec_bce,balance_loss,router_z_loss,router_entropy,router_grad_norm,expert_w_cos,balance_alpha,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,expert_max_use,expert_max_sel,expert_load_0,expert_load_1,expert_load_2,expert_load_3,expert_load_4,expert_load_5,expert_load_6,expert_load_7,duration
1,0.5133,0.0037,0.4596,1.1253,0.3644,2.0420,0.0542,-0.0013,0.0400,0.1823,4.2870,0.0539,0.0527,0.2787,0.8361,0.1169,0.0742,0.0884,0.2681,0.1084,0.0868,0.1591,0.0982,344
2,0.3618,0.0037,0.2941,1.4017,0.0134,1.9246,0.0637,0.0205,0.0427,0.1139,5.3176,0.0419,0.0394,0.3333,1.0000,0.0987,0.0790,0.0836,0.3333,0.0976,0.0840,0.1329,0.0908,342
3,0.3434,0.0036,0.2708,1.4012,0.0120,1.9276,0.0581,0.0577,0.0453,0.1104,6.5040,0.0116,0.0106,0.3333,1.0000,0.0966,0.0852,0.0871,0.3333,0.0969,0.0879,0.1204,0.0926,342
4,0.3366,0.0037,0.2611,1.3887,0.0125,1.9375,0.0566,0.1138,0.0480,0.1085,6.1428,0.0387,0.0390,0.3333,1.0000,0.0950,0.0890,0.0904,0.3333,0.0953,0.0906,0.1126,0.0937,343
5,0.3324,0.0037,0.2515,1.3905,0.0132,1.9371,0.0573,0.1849,0.0507,0.1040,7.7493,0.0035,0.0033,0.3333,1.0000,0.0950,0.0918,0.0928,0.3333,0.0950,0.0926,0.1066,0.0930,342
6,0.3263,0.0036,0.2421,1.3881,0.0142,1.9393,0.0592,0.2460,0.0533,0.0996,7.5348,0.0227,0.0212,0.3333,1.0000,0.0943,0.0931,0.0934,0.3333,0.0945,0.0928,0.1032,0.0954,342
7,0.3223,0.0037,0.2347,1.3739,0.0146,1.9486,0.0591,0.2366,0.0560,0.0955,7.9617,0.0065,0.0060,0.3333,1.0000,0.0943,0.0940,0.0951,0.3333,0.0961,0.0935,0.1000,0.0937,341
8,0.3179,0.0037,0.2265,1.3663,0.0142,1.9534,0.0611,0.1451,0.0587,0.0920,8.4994,0.0056,0.0050,0.3333,1.0000,0.0949,0.0943,0.0954,0.3333,0.0955,0.0947,0.0966,0.0953,339
9,0.3125,0.0036,0.2185,1.3562,0.0145,1.9597,0.0603,0.0554,0.0613,0.0873,8.1495,0.0247,0.0223,0.3333,1.0000,0.0949,0.0947,0.0949,0.3333,0.0953,0.0951,0.0967,0.0951,336
10,0.3077,0.0038,0.2108,1.3444,0.0142,1.9668,0.0628,0.0008,0.0640,0.0833,8.1074,0.0050,0.0048,0.3333,1.0000,0.0960,0.0954,0.0948,0.3333,0.0955,0.0945,0.0956,0.0949,333
11,0.3062,0.0038,0.2065,1.3291,0.0144,1.9757,0.0630,-0.0097,0.0667,0.0811,8.3454,0.0152,0.0154,0.3333,1.0000,0.0959,0.0951,0.0948,0.3333,0.0958,0.0955,0.0949,0.0947,330
12,0.3010,0.0036,0.1991,1.3192,0.0135,1.9813,0.0646,-0.0021,0.0693,0.0777,7.7807,0.0260,0.0213,0.3333,1.0000,0.0957,0.0942,0.0959,0.3333,0.0945,0.0963,0.0949,0.0952,328
13,0.3010,0.0038,0.1957,1.3093,0.0131,1.9868,0.0652,-0.0009,0.0720,0.0755,8.2945,0.0186,0.0177,0.3333,1.0000,0.0948,0.0954,0.0952,0.3333,0.0942,0.0956,0.0954,0.0961,326
14,0.2959,0.0037,0.1850,1.3147,0.0121,1.9839,0.0679,-0.0001,0.0747,0.0701,10.0252,0.0013,0.0013,0.3333,1.0000,0.0951,0.0953,0.0953,0.3333,0.0952,0.0949,0.0952,0.0957,326
15,0.2921,0.0036,0.1773,1.3129,0.0123,1.9847,0.0653,0.0001,0.0773,0.0654,10.6203,0.0010,0.0010,0.3333,1.0000,0.0953,0.0950,0.0958,0.3333,0.0955,0.0947,0.0951,0.0953,326
16,0.2862,0.0038,0.1694,1.3076,0.0120,1.9877,0.0676,0.0000,0.0800,0.0616,9.4440,0.0218,0.0221,0.3333,1.0000,0.0953,0.0954,0.0948,0.3333,0.0953,0.0957,0.0954,0.0946,326
17,0.2781,0.0037,0.1616,1.3080,0.0117,1.9876,0.0660,0.0000,0.0800,0.0578,9.2101,0.0061,0.0057,0.3333,1.0000,0.0960,0.0951,0.0955,0.3333,0.0948,0.0944,0.0956,0.0953,326
18,0.2717,0.0037,0.1550,1.3087,0.0115,1.9871,0.0644,-0.0000,0.0800,0.0547,9.4135,0.0169,0.0173,0.3333,1.0000,0.0955,0.0943,0.0960,0.3333,0.0951,0.0949,0.0953,0.0955,326
19,0.2685,0.0038,0.1513,1.3047,0.0117,1.9893,0.0636,-0.0000,0.0800,0.0529,10.0835,0.0040,0.0039,0.3333,1.0000,0.0951,0.0957,0.0951,0.3333,0.0954,0.0954,0.0953,0.0947,326
20,0.2605,0.0037,0.1447,1.3026,0.0112,1.9905,0.0649,-0.0000,0.0800,0.0499,9.0252,0.0291,0.0269,0.3333,1.0000,0.0951,0.0948,0.0954,0.3333,0.0952,0.0957,0.0954,0.0951,326
21,0.2628,0.0037,0.1468,1.2937,0.0112,1.9949,0.0674,-0.0000,0.0800,0.0518,9.8769,0.0038,0.0039,0.3333,1.0000,0.0959,0.0956,0.0949,0.3333,0.0952,0.0944,0.0951,0.0955,326
22,0.2699,0.0037,0.1549,1.2790,0.0115,2.0023,0.0794,-0.0000,0.0800,0.0560,10.0829,0.0083,0.0082,0.3333,1.0000,0.0954,0.0954,0.0945,0.3333,0.0956,0.0963,0.0952,0.0942,326
23,0.2676,0.0037,0.1529,1.2753,0.0112,2.0043,0.0776,-0.0000,0.0800,0.0548,10.0838,0.0046,0.0045,0.3333,1.0000,0.0958,0.0960,0.0947,0.3333,0.0947,0.0951,0.0947,0.0956,326
24,0.2880,0.0036,0.1741,1.2523,0.0121,2.0152,0.0944,-0.0000,0.0800,0.0662,11.1026,0.0010,0.0010,0.3333,1.0000,0.0958,0.0961,0.0952,0.3333,0.0960,0.0952,0.0936,0.0947,326
25,0.2935,0.0036,0.1819,1.2430,0.0126,2.0194,0.1061,-0.0000,0.0800,0.0704,9.5239,0.0207,0.0181,0.3333,1.0000,0.0950,0.0969,0.0939,0.3333,0.0957,0.0942,0.0938,0.0972,326
26,0.2993,0.0037,0.1893,1.2367,0.0115,2.0222,0.1094,-0.0000,0.0800,0.0743,8.3988,0.0173,0.0181,0.3333,1.0000,0.0956,0.0942,0.0949,0.3333,0.0971,0.0942,0.0955,0.0951,326
27,0.3023,0.0037,0.1909,1.2383,0.0123,2.0217,0.1049,-0.0000,0.0800,0.0750,9.6038,0.0065,0.0078,0.3333,1.0000,0.0941,0.0941,0.0964,0.3333,0.0951,0.0965,0.0952,0.0952,326
28,0.3077,0.0037,0.1961,1.2335,0.0122,2.0237,0.1129,-0.0000,0.0800,0.0781,10.2088,0.0063,0.0057,0.3333,1.0000,0.0936,0.0942,0.0958,0.3333,0.0950,0.0955,0.0963,0.0963,326
29,0.3128,0.0037,0.1999,1.2322,0.0125,2.0243,0.1142,-0.0000,0.0800,0.0803,11.6217,0.0007,0.0008,0.3333,1.0000,0.0956,0.0933,0.0952,0.3333,0.0959,0.0959,0.0956,0.0951,326
30,0.3246,0.0036,0.2150,1.2217,0.0122,2.0287,0.1248,-0.0000,0.0800,0.0890,9.3211,0.0273,0.0219,0.3333,1.0000,0.0953,0.0964,0.0945,0.3333,0.0948,0.0962,0.0951,0.0944,326
31,0.3400,0.0036,0.2294,1.2129,0.0132,2.0325,0.1382,-0.0000,0.0800,0.0959,10.9750,0.0021,0.0022,0.3333,1.0000,0.0968,0.0923,0.0952,0.3333,0.0960,0.0948,0.0966,0.0949,326
32,0.3511,0.0038,0.2392,1.2127,0.0136,2.0326,0.1409,-0.0000,0.0800,0.1015,12.1249,0.0006,0.0006,0.3333,1.0000,0.0947,0.0946,0.0954,0.3333,0.0930,0.0979,0.0971,0.0939,326
33,0.3525,0.0037,0.2418,1.2176,0.0130,2.0304,0.1301,-0.0000,0.0800,0.1032,10.5772,0.0154,0.0111,0.3333,1.0000,0.0946,0.0950,0.0946,0.3333,0.0954,0.0976,0.0951,0.0943,326
34,0.3475,0.0037,0.2368,1.2204,0.0138,2.0292,0.1325,-0.0000,0.0800,0.1002,10.4230,0.0124,0.0141,0.3333,1.0000,0.0935,0.0942,0.0964,0.3333,0.0944,0.0976,0.0963,0.0942,326
35,0.3657,0.0036,0.2562,1.2072,0.0143,2.0346,0.1444,-0.0000,0.0800,0.1119,10.2629,0.0107,0.0098,0.3333,1.0000,0.0938,0.0930,0.0963,0.3333,0.0974,0.0966,0.0946,0.0950,326
36,0.3674,0.0037,0.2567,1.2128,0.0136,2.0320,0.1384,-0.0000,0.0800,0.1119,11.0450,0.0007,0.0007,0.3333,1.0000,0.0944,0.0940,0.0962,0.3333,0.0973,0.0961,0.0944,0.0943,325
37,0.3711,0.0035,0.2616,1.2144,0.0138,2.0312,0.1385,-0.0000,0.0800,0.1151,9.7403,0.0242,0.0127,0.3333,1.0000,0.0949,0.0939,0.0951,0.3333,0.0962,0.0969,0.0946,0.0952,326
38,0.3728,0.0036,0.2624,1.2178,0.0157,2.0291,0.1366,-0.0000,0.0800,0.1159,10.3664,0.0107,0.0113,0.3333,1.0000,0.0949,0.0934,0.0976,0.3333,0.0940,0.0960,0.0944,0.0963,325
39,0.3827,0.0038,0.2726,1.2102,0.0166,2.0318,0.1434,-0.0000,0.0800,0.1219,10.5291,0.0079,0.0089,0.3333,1.0000,0.0956,0.0909,0.0972,0.3333,0.0944,0.0960,0.0968,0.0959,326
40,0.3906,0.0037,0.2789,1.2176,0.0188,2.0269,0.1393,-0.0000,0.0800,0.1266,11.5976,0.0012,0.0012,0.3333,1.0000,0.0954,0.0942,0.0998,0.3333,0.0937,0.0962,0.0939,0.0934,326
41,0.3923,0.0037,0.2802,1.2169,0.0192,2.0253,0.1405,-0.0000,0.0800,0.1284,12.0730,0.0004,0.0003,0.3333,1.0000,0.0943,0.0941,0.0975,0.3333,0.0949,0.0975,0.0949,0.0934,326
